"Country","Population","Region","Happiness Score","Economy (GDP per capita)","Social support","Health (life expectancy)","Freedom to make life choices","Generosity","Perceptions of corruption","Life expectancy","Suicide rate (100,000)"
"Burkina Faso","20321378","Central and Eastern Europe","4.587","0.331","1.056","0.38","0.255","0.177","0.113","61.577","1521"
"Burundi","11530580","Sub-Saharan Africa","3.775","0.046","0.447","0.38","0.22","0.176","0.18","61.584","1017"
"Cambodia","16486542","Sub-Saharan Africa","4.7","0.574","1.122","0.637","0.609","0.232","0.062","69.823","861"
"Cameroon","25876380","Southeastern Asia","5.044","0.549","0.91","0.331","0.381","0.187","0.037","59.292","3076"
"Canada","37589262","Sub-Saharan Africa","7.278","1.365","1.505","1.039","0.584","0.285","0.308","82.434","4634"
"Central African Republic","86790567","North America","3.083","0.026","0","0.105","0.225","0.235","0.035","53.283","359"
"Chad","15946876","Sub-Saharan Africa","4.35","0.35","0.766","0.192","0.174","0.198","0.078","54.239","1362"
"Chile","18952038","Latin America and Caribbean","6.444","1.159","1.369","0.92","0.357","0.187","0.056","80.181","1985"
"China","1397715000","Eastern Asia","5.191","1.029","1.125","0.893","0.521","0.058","0.1","76.912","138482"
"Colombia","50339443","Latin America and Caribbean","6.125","0.985","1.41","0.841","0.47","0.099","0.034","77.287","3576"
"Comoros","850886","Sub-Saharan Africa","3.973","0.274","0.757","0.505","0.142","0.275","0.078","64.321","57"
"Congo (Brazzaville)","86790567","Sub-Saharan Africa","4.812","0.673","0.799","0.508","0.372","0.105","0.093","64.57","0"
"Congo (Kinshasa)","5380508","Sub-Saharan Africa","4.418","0.094","1.125","0.357","0.269","0.212","0.053","64.57","0"
"Costa Rica","25716544","Latin America and Caribbean","7.167","1.034","1.441","0.963","0.558","0.144","0.093","80.279","395"
"Croatia","4067500","Central and Eastern Europe","5.432","1.155","1.266","0.914","0.296","0.119","0.022","78.488","686"
"Cyprus","1198575","Western Europe","6.046","1.263","1.223","1.042","0.406","0.19","0.041","80.982","63"
"Czech Republic","10669709","Central and Eastern Europe","6.852","1.269","1.487","0.92","0.457","0.046","0.036","79.376","0"
"Denmark","5818553","Western Europe","7.6","1.383","1.573","0.996","0.592","0.252","0.41","80.898","736"
"Dominican Republic","10738958","Latin America and Caribbean","5.425","1.015","1.401","0.779","0.497","0.113","0.101","74.081","1052"
"Ecuador","17373662","Latin America and Caribbean","6.028","0.912","1.312","0.868","0.498","0.126","0.087","77.01","1213"
"Egypt","100388073","Middle East and Northern Africa","4.166","0.913","1.039","0.644","0.241","0.076","0.067","71.99","3937"
"El Salvador","6453553","Latin America and Caribbean","6.253","0.794","1.242","0.789","0.43","0.093","0.074","73.317","880"
"Estonia","1326590","Central and Eastern Europe","5.893","1.237","1.528","0.874","0.495","0.103","0.161","78.745","235"
"Ethiopia","112078730","Sub-Saharan Africa","4.286","0.336","1.033","0.532","0.344","0.209","0.1","66.597","7864"
"Finland","5520314","Western Europe","7.769","1.34","1.587","0.986","0.596","0.153","0.393","81.908","878"
"France","67059887","Western Europe","6.592","1.324","1.472","1.045","0.436","0.111","0.183","82.659","11503"
"Gabon","2172579","Sub-Saharan Africa","4.799","1.057","1.183","0.571","0.295","0.043","0.055","66.467","150"
"Gambia","2347706","Western Europe","4.516","0.308","0.939","0.428","0.382","0.269","0.167","62.05","116"
"Georgia","3720382","Central and Eastern Europe","4.519","0.886","0.666","0.752","0.346","0.043","0.164","73.767","328"
"Germany","83132799","Western Europe","6.985","1.373","1.454","0.987","0.495","0.261","0.265","81.326","11305"
"Ghana","30417856","Sub-Saharan Africa","4.996","0.611","0.868","0.486","0.381","0.245","0.04","64.074","1607"
"Greece","10716322","Western Europe","5.287","1.181","1.156","0.999","0.067","0","0.034","82.239","526"
"Guatemala","16604026","Latin America and Caribbean","6.436","0.8","1.269","0.746","0.535","0.175","0.078","74.302","466"
"Guinea","12771246","Sub-Saharan Africa","4.534","0.38","0.829","0.375","0.332","0.207","0.086","61.602","782"
"Haiti","11263077","Latin America and Caribbean","3.597","0.323","0.688","0.449","0.026","0.419","0.11","64.001","1301"
"Honduras","9746117","Latin America and Caribbean","5.86","0.642","1.236","0.828","0.507","0.246","0.078","75.27","278"
"Hong Kong","7507400","Eastern Asia","5.43","1.438","1.277","1.122","0.44","0.258","0.287","84.857","0"
"Hungary","9769949","Central and Eastern Europe","5.758","1.201","1.41","0.828","0.199","0.081","0.02","76.875","1854"
"Iceland","361313","Western Europe","7.494","1.38","1.624","1.026","0.591","0.354","0.118","82.993","47"
"India","1366417754","Southern Asia","4.015","0.755","0.765","0.588","0.498","0.2","0.085","69.656","220481"
"Indonesia","270625568","Southeastern Asia","5.192","0.931","1.203","0.66","0.491","0.498","0.028","71.716","9101"
"Iran","82913906","Middle East and Northern Africa","4.548","1.1","0.842","0.785","0.305","0.27","0.125","76.677","0"
"Iraq","39309783","Middle East and Northern Africa","4.437","1.043","0.98","0.574","0.241","0.148","0.089","70.604","1153"
"Ireland","4941444","Western Europe","7.021","1.499","1.553","0.999","0.516","0.298","0.31","82.305","554"
"Israel","9053300","Middle East and Northern Africa","7.139","1.276","1.455","1.029","0.371","0.261","0.082","82.972","453"
"Italy","60297396","Western Europe","6.223","1.294","1.488","1.039","0.231","0.158","0.03","83.512","4971"
"Ivory Coast","4941444","Sub-Saharan Africa","4.944","0.569","0.808","0.232","0.352","0.154","0.09","83.512","0"
"Jamaica","2948279","Latin America and Caribbean","5.89","0.831","1.478","0.831","0.49","0.107","0.028","74.475","65"
"Japan","126264931","Eastern Asia","5.886","1.327","1.419","1.088","0.445","0.069","0.14","84.629","23532"
"Jordan","10101694","Middle East and Northern Africa","4.906","0.837","1.225","0.815","0.383","0.11","0.13","74.526","289"
"Kazakhstan","18513930","Central and Eastern Europe","5.809","1.173","1.508","0.729","0.41","0.146","0.096","73.597","4122"
"Kenya","52573973","Sub-Saharan Africa","4.509","0.512","0.983","0.581","0.431","0.372","0.053","66.699","1645"
"Kosovo","1794248","Central and Eastern Europe","6.1","0.882","1.232","0.758","0.489","0.262","0.006","68.369","0"
"Kuwait","4207083","Middle East and Northern Africa","6.021","1.5","1.319","0.808","0.493","0.142","0.097","75.489","95"
"Kyrgyzstan","6456900","Central and Eastern Europe","5.261","0.551","1.438","0.723","0.508","0.3","0.023","71.45","523"
"Laos","7169455","Southeastern Asia","4.796","0.764","1.03","0.551","0.547","0.266","0.164","67.923","0"
"Latvia","1912789","Central and Eastern Europe","5.94","1.187","1.465","0.812","0.264","0.075","0.064","75.292","409"
"Lebanon","6855713","Middle East and Northern Africa","5.197","0.987","1.224","0.815","0.216","0.166","0.027","78.93","226"
"Lesotho","2125268","Sub-Saharan Africa","3.802","0.489","1.169","0.168","0.359","0.107","0.093","54.331","447"
"Liberia","4937374","Middle East and Northern Africa","3.975","0.073","0.922","0.443","0.37","0.233","0.033","64.104","328"
"Libya","6777452","Central and Eastern Europe","5.525","1.044","1.303","0.673","0.416","0.133","0.152","72.913","347"
"Lithuania","2786844","Western Europe","6.149","1.238","1.515","0.818","0.291","0.043","0.042","75.933","894"
